'IMAGE NAME', 'SNR', 'extrema', 'RMS','Count', "Median", "Standard Deviation", "Variance"
sky.jpg,2.6616641559868577,"[(0, 255), (0, 255), (0, 255)]",108.51111576653315,"[132300, 132300, 132300]","[94, 136, 194]","[39.25210662531108, 36.03752653187511, 43.94060418188336]","[1540.7278745247897, 1298.7033185356022, 1930.7766958689456]"
flower.jpg,1.9211739434310398,"[(0, 255), (0, 255), (0, 255)]",170.50036542299551,"[102400, 102400, 102400]","[164, 127, 70]","[57.77041788843473, 54.39255685164656, 60.40695142431761]","[3337.421183004379, 2958.5502408596035, 3648.999780379868]"
fruits.jpg,1.1841684498097693,"[(1, 255), (0, 255), (0, 247)]",160.25591782182855,"[12000000, 12000000, 12000000]","[162, 80, 8]","[53.36006991203231, 59.39728597686289, 36.02533269590571]","[2847.2970610169755, 3528.0375814172326, 1297.824595850693]"
pool.png,1.0152898378295803,"[(0, 255), (0, 254), (0, 255)]",46.048794011221204,"[195330, 195330, 195330]","[18, 65, 18]","[37.55012283826906, 27.861748016048946, 28.66858980987179]","[1410.0117251690958, 776.2770025098073, 821.8880416866846]"
tulips.png,1.4521903443158355,"[(0, 253), (3, 245), (0, 245)]",138.13695383948587,"[393216, 393216, 393216]","[69, 102, 76]","[84.23137475705072, 59.97885761349936, 61.633526894427895]","[7094.92449346272, 3597.4633606204297, 3798.6916374461666]"
airplane.png,4.13327826984684,"[(22, 230), (0, 234), (22, 227)]",183.06347133994805,"[262144, 262144, 262144]","[197, 202, 203]","[44.48225292573211, 51.83772018471691, 32.23452276204037]","[1978.6708253488032, 2687.149233949007, 1039.0644576964987]"
endge_enhance.png,3.3398536107233143,"[(0, 255), (0, 255), (0, 255)]",186.02288487865647,"[262144, 262144, 262144]","[199, 204, 205]","[54.8117588416962, 62.69379034144569, 43.31748915477894]","[3004.3289073202614, 3930.511347377149, 1876.404866674391]"
gaussian.png,4.42947205462319,"[(22, 226), (0, 228), (22, 224)]",182.2779806292851,"[262144, 262144, 262144]","[195, 200, 202]","[41.373044600731575, 48.34517402956619, 30.000433330488203]","[1711.7288195341243, 2337.2558519490412, 900.0260000170674]"
